Ime recepta,Število sestavin,Število besed v receptu,Število odstavkov,Težavnost,Čas priprave,Čas kuhanja,Skupni čas,Vrsta kuhinje,Energijska vrednost na porcijo
Puranje rolade z vojvodinjim krompirjem,12,233,6,1,25 min,50 min,1 h 15 min,Hofer,158.69 kCal
Linške rožice z vanilijevo masleno kremo,13,226,5,1,2 h 0 min,25 min,2 h 25 min,Božič in novo leto,475.55 kCal
Koroški ajdovi žganci,3,83,3,1,5 min,30 min,35 min,Slovenska,338.74 kCal
Čokoladne mint rezine,17,159,6,1,30 min,20 min,50 min,Božič in novo leto,443.49 kCal
Buhteljni z božičnim nadevom,17,299,7,2,1 h 55 min,45 min,2 h 40 min,Božič in novo leto,253.26 kCal
Kaneloni z govedino in paradižnikom,15,206,4,2,30 min,1 h 20 min,1 h 50 min,Kaj skuhati,219.97 kCal
Višnjeve rezine z belo čokolado,9,104,4,1,30 min,0 min,30 min,Sladice,303.31 kCal
Krompirjeva pita s čebulo,12,215,5,1,15 min,1 h 15 min,1 h 30 min,Zelenjava,113.02 kCal
Pečen goveji hrbet z gorčico in hrenom,8,128,6,1,10 min,1 h 0 min,1 h 10 min,Božič in novo leto,177.07 kCal
Sladki jurčki,7,115,3,1,2 h 30 min,15 min,2 h 45 min,Božič in novo leto,505.54 kCal
Makovo pecivo s hokaido bučo,15,141,6,1,20 min,45 min,1 h 5 min,Sladice,189.97 kCal
Masleni piškoti z marmelado,7,131,5,1,1 h 10 min,18 min,1 h 28 min,Božič in novo leto,489.44 kCal
Medenjaki z orehi in belim ledom,11,205,6,1,1 h 20 min,10 min,1 h 30 min,Božič in novo leto,352.67 kCal
Čokoladno-lešnikovi piškoti,11,114,4,1,25 min,10 min,35 min,Sladice,456.52 kCal
"Goveji steak v smetanovi omaki s tartufi, pommes duchesse, zeljna solata",22,249,8,1,15 min,30 min,45 min,Priložnostno,116.97 kCal
Piščanec z limonino omako,7,106,5,1,10 min,50 min,1 h 0 min,Meso,181.63 kCal
Hitri praznični piškoti z oreščki in rozinami,11,114,4,1,20 min,15 min,35 min,Božič in novo leto,363 kCal
"Domači ajdovi rezanci s špinačo, tuno in smetano",15,325,7,2,50 min,10 min,1 h 0 min,Testenine in žita,238.34 kCal
Orehove rezine z vanilijevo kremo in čokoladnim namazom,16,216,7,2,20 min,15 min,35 min,Sladice,399.91 kCal
Puranji golaž,10,161,4,1,10 min,45 min,55 min,Kosilo,113.06 kCal
"Mafini z borovnicami, belo čokolado in mascarponejevo kremo",13,126,6,1,10 min,15 min,25 min,Sladice,325.74 kCal
Brezglutensko pecivo z jabolki in suhimi figami,10,98,4,1,10 min,40 min,50 min,Brez glutena,274.62 kCal
Jabolčni drobljenec z grškim jogurtom,9,178,5,1,15 min,45 min,1 h 0 min,Sladice,205.15 kCal
Brizgani masleni piškoti,7,123,7,2,20 min,10 min,30 min,Božič in novo leto,423.29 kCal
Medene piščančje krače,8,55,3,1,5 min,40 min,45 min,Na hitro,193.28 kCal
Goveji ragu z domačimi rezanci,19,443,7,2,15 min,3 h 20 min,3 h 35 min,Glavne jedi,247.68 kCal
Goveja pečenka v omaki s suhimi jurčki,10,177,7,1,35 min,2 h 0 min,2 h 35 min,Meso,218.93 kCal
Tiramisu brez laktoze v kozarcu,7,110,5,1,20 min,0 min,20 min,Sladice,303.94 kCal
Biskvitni cheesecake,12,113,6,1,15 min,1 h 0 min,1 h 15 min,Sladice,236.51 kCal
Fižolova juha s testeninami,14,175,5,1,10 min,50 min,1 h 0 min,Juhe in jedi na žlico,228.77 kCal
Čokoladno avokadova torta brez peke,10,98,4,1,10 min,0 min,10 min,Brez glutena,259.46 kCal
LCHF cheesecake z jagodnim pirejem,13,138,6,1,1 h 10 min,20 min,1 h 30 min,Sladice,376.31 kCal
Krompirjev golaž s klobaso,13,142,4,1,15 min,30 min,45 min,Jesen,158.18 kCal
"Pita z makom, kislo smetano in marmelado",12,165,6,1,15 min,35 min,50 min,Sladice,332.24 kCal
Pita z bučkami in dimljenim lososom,9,149,5,1,15 min,35 min,50 min,Predjedi in prigrizki,153.19 kCal
Domače makovke,9,172,3,1,2 h 10 min,20 min,2 h 30 min,Testenine in žita,363.16 kCal
Sočen limonin biskvit brez moke,8,103,4,1,10 min,45 min,55 min,Brez glutena,311.66 kCal
Jurčki s česnom in peteršiljem iz pečice,5,79,3,1,10 min,20 min,30 min,Jesen,189.04 kCal
Beljakove rezine z orehi,8,95,4,1,10 min,20 min,30 min,Sladice,323.29 kCal
Špinačna rolada s šunko,8,187,5,1,18 min,17 min,35 min,Zabava,132.07 kCal
Čokoladna mousse torta,18,197,7,2,30 min,40 min,1 h 10 min,Sladice,405.71 kCal
Mandljev kolač z jabolki,17,183,4,1,20 min,45 min,1 h 5 min,Jesen,271.45 kCal
"Zloženka iz cvetače, pora in šampinjonov",8,176,5,1,10 min,35 min,45 min,Zelenjava,92.93 kCal
Makove rezine,9,113,4,1,10 min,1 h 10 min,1 h 20 min,Sladice,246.19 kCal
Pita s kislo smetano in borovnicami,13,119,5,1,15 min,30 min,45 min,Sladice,265.86 kCal
"Zdravo pecivo z jabolki, orehi in čokolado",11,108,5,1,10 min,30 min,40 min,Zdravo in vegi,159.34 kCal
Zloženka iz sladkega krompirja in pečenice,12,159,5,1,15 min,1 h 0 min,1 h 15 min,Kosilo,201.97 kCal
Mangove cheesecake rezine,11,158,6,1,25 min,0 min,25 min,Sladice,364.71 kCal
Kostanjeve rezine,13,132,4,1,20 min,30 min,50 min,Sladice,210.64 kCal
Domača mandljeva granola,12,96,5,1,10 min,27 min,37 min,Zdrav navdih,428.57 kCal
Veganska umešana jajčka s špinačo,11,93,4,1,5 min,15 min,20 min,Zdrav navdih,123.9 kCal
Sočni svinjski zrezki s čebulo,4,123,3,1,2 min,8 min,10 min,Na hitro,163.26 kCal
Sendvič s čičerikino solato,12,56,3,1,15 min,0 min,15 min,Zdrav navdih,189.36 kCal
Jogurtov sirček v olivnem olju,4,141,3,1,40 min,0 min,40 min,Domači pripravki,224.88 kCal
Ovseni flapjack,9,141,4,1,15 min,42 min,57 min,Zdrav navdih,303.3 kCal
Krhki arašidovi piškoti,6,137,5,1,45 min,7 min,52 min,Sladice,422.05 kCal
Veganski čokoladno-bananin sladoled,3,26,2,1,5 min,0 min,5 min,Zdravo in vegi,103.64 kCal
Slastna jabolčna pita z rozinami,14,221,5,1,50 min,45 min,1 h 35 min,Sladice,254.94 kCal
Pečen muesli (granola) z jogurtom in sadjem,9,96,3,1,5 min,30 min,35 min,Zdrav navdih,394.79 kCal
Ponozrnati kruh z namazom iz korenčka in zelene,7,35,2,1,15 min,0 min,15 min,Zdrav navdih,133.6 kCal
Makove rezine z belo čokolado,8,123,5,1,10 min,15 min,25 min,Sladice,354.78 kCal
Dušena cvetača z grahom in korenčkom,11,83,4,1,10 min,20 min,30 min,Zelenjava,103.41 kCal
Jabolčno-pudingova torta,10,179,7,1,20 min,25 min,45 min,Sladice,102.2 kCal
Rženi kruh z namazom iz sušenih paradižnikov in bazilike,6,37,2,1,10 min,0 min,10 min,Zdrav navdih,432.99 kCal
Ajdova kaša z rastlinskim mlekom in cimetom,9,81,3,1,20 min,5 min,25 min,Zdrav navdih,379.84 kCal
Zamrznjeni poletni mafini,8,67,3,1,10 min,0 min,10 min,Sladice,90.36 kCal
Preprosto pecivo z gozdnimi sadeži in mandlji,10,124,4,1,10 min,1 h 0 min,1 h 10 min,Sladice,202.81 kCal
Zapečen krompir z lososom,10,125,4,1,15 min,45 min,1 h 0 min,Kosilo,128.99 kCal
Krompirjeva palačinka s šunko in sirom,7,160,5,1,10 min,15 min,25 min,Na hitro,104.46 kCal
Jogurtove rezine z malinami in vanilijevo kremo,15,171,6,1,15 min,35 min,50 min,Sladice,246.59 kCal
Bonet,8,194,6,1,20 min,1 h 0 min,1 h 20 min,Sladice,289.91 kCal
Kavna krema s kavnim sirupom,9,143,5,1,20 min,20 min,40 min,Sladice,370.9 kCal
Kokosovi poljubčki,7,127,4,1,1 h 5 min,15 min,1 h 20 min,Sladice,485.17 kCal
Marelični mousse,5,118,3,1,20 min,10 min,30 min,Sladice,334 kCal
Kruh z bučkami,8,222,5,2,1 h 5 min,55 min,2 h 0 min,Zelenjava,196.97 kCal
Čokoladno-borovničev mousse,9,134,4,2,30 min,5 min,35 min,Sladice,306.6 kCal
Boranja s perutničkami,7,229,5,1,10 min,55 min,1 h 5 min,Kaj skuhati,104.64 kCal
Limonine rezine z malinami,11,227,6,2,25 min,35 min,1 h 0 min,Sladice,285.78 kCal
Nutellini piškoti,3,102,5,1,15 min,10 min,25 min,Sladice,471.71 kCal
Domači sladoled s češnjami,10,72,3,1,20 min,10 min,30 min,Sladice,91.12 kCal
Pecivo z ribezom in beljakovim pokrovom,9,173,5,1,15 min,35 min,50 min,Sladice,285.42 kCal
Alzaška pica/pogača (Flammkuchen),11,177,4,1,55 min,15 min,1 h 10 min,Testenine in žita,254.39 kCal
Pisana fižolova solata z dimljeno ribo,11,81,4,1,10 min,0 min,10 min,Solate,204.39 kCal
Počasi dušene svinjske ličnice z zelenjavo,14,224,6,2,20 min,3 h 20 min,3 h 40 min,Meso,211.33 kCal
Lazanja z bučkami in paradižnikom,8,185,4,1,30 min,52 min,1 h 22 min,Testenine in žita,107.06 kCal
Panna cotta z jagodnim pirejem,6,113,4,1,20 min,15 min,35 min,Sladice,139.21 kCal
Čokoladna strjenka v kozarcu,8,155,5,1,15 min,10 min,25 min,Sladice,540.88 kCal
Pica kruhki,10,124,5,1,10 min,30 min,40 min,Večerja,232.37 kCal
Hitre bučkine palačinke,6,148,4,1,15 min,15 min,30 min,Zelenjava,110.03 kCal
"Ješprenova ričota z gratinirami beluši, kalamari v masleni omaki in krema iz boba",18,187,7,2,20 min,30 min,50 min,MasterChef,103.52 kCal
"Ričota s klobaso, pečene kapesante in belušina krema",21,247,7,2,30 min,20 min,50 min,MasterChef,97.96 kCal
Mille-feuille s kremo bele čokolade in malinovo zmrzlino,16,271,7,2,45 min,15 min,1 h 0 min,MasterChef,220.57 kCal
Brezglutenski cheesecake z marelicami,13,249,7,2,30 min,25 min,55 min,Sladice,217.96 kCal
"Goveji file z zeliščno soljo, pommes duchesse,zeliščno maslo in šparglji",29,355,9,3,40 min,45 min,1 h 25 min,MasterChef,154.83 kCal
Puranje rezine z zelenjavo,9,145,5,1,10 min,10 min,20 min,Meso,132.32 kCal
Princeske s pudingovo masleno kremo (princes krofi),12,272,6,3,1 h 0 min,15 min,1 h 15 min,Sladice,387.02 kCal
Orehove puding rezine,9,100,4,1,10 min,1 h 0 min,1 h 10 min,Sladice,237.6 kCal
"Tortica iz suhih jurčkov, pastinaka in skute ter malinova krema",16,224,7,2,45 min,25 min,1 h 10 min,MasterChef,231.54 kCal
Pašteta iz dimljenih sardel z zeliščnim maslom,13,183,4,2,25 min,20 min,45 min,MasterChef,195.33 kCal
"Tortelini s skuto in pestom, maslena omaka in na zeliščnem maslu sotirane sardele",23,185,8,2,20 min,25 min,45 min,MasterChef,218.13 kCal
Orada v pečici s krompirjem in šparglji,8,129,4,1,10 min,1 h 0 min,1 h 10 min,Ribe in morski sadeži,72.29 kCal
Pečeni nadevani šampinjoni,9,110,3,1,10 min,25 min,35 min,Kaj skuhati,163.48 kCal
Rolada s čokoladno kremo in jagodami,11,259,5,2,20 min,20 min,40 min,Sladice,229.19 kCal
Tunin namaz s papriko in mlado čebulico,7,90,3,1,15 min,0 min,15 min,Kaj skuhati,170.88 kCal
"Pecivo z olivnim oljem, pistacijami in jagodami",10,116,4,1,10 min,50 min,1 h 0 min,Sladice,279.75 kCal
Malinov in jogurtov mousse v kozarcu,10,147,3,1,20 min,7 min,27 min,Pomlad,182.88 kCal
Sijoča čokoladna glazura (svetleč čokoladni obliv),6,71,3,3,15 min,5 min,20 min,MasterChef,443.62 kCal
Čokoladni mousse,4,75,4,2,20 min,0 min,20 min,MasterChef,532.2 kCal
Lava cake (lava tortica),7,113,5,2,20 min,9 min,29 min,MasterChef,439.12 kCal
Tiramisu z jagodami,13,137,4,2,20 min,10 min,30 min,MasterChef,345.94 kCal
"Brancin v soli, kremna polenta, blitva s krompirjem in maslena omaka s kaprami",18,311,8,2,15 min,40 min,55 min,MasterChef,291.19 kCal
Zelenjavna mineštra,18,208,6,2,15 min,20 min,35 min,MasterChef,103.09 kCal
Skutina pita z borovnicami in robidami,16,209,5,2,45 min,52 min,1 h 37 min,Sladice,252.35 kCal
Zeljna solata s kranjsko klobaso,9,102,4,1,40 min,8 min,48 min,Kaj skuhati,60.58 kCal
Rižev narastek z jagodami in beljakovim pokrovom,10,206,5,1,15 min,50 min,1 h 5 min,Pomlad,178.38 kCal
"Lazanja z nadevom iz rakcev, špargljev in mascarponeja",12,340,10,2,30 min,15 min,45 min,MasterChef,131.56 kCal
"Palačinke s šparglji, šunko in sirom",9,213,4,1,20 min,35 min,55 min,Pomlad,137.66 kCal
Brezmesna lazanja,16,165,3,1,10 min,50 min,1 h 0 min,MasterChef,207.56 kCal
Pečeni bikovi prašniki in krompirjevi ocvrtki s konopljinimi semeni,17,159,5,2,15 min,40 min,55 min,MasterChef,0 kCal
"Ocvrti svinjski možgani, krompirjeva solata z ribjimi ikrami in majoneza z ostrigino omako",21,214,4,2,25 min,30 min,55 min,MasterChef,0 kCal
Torta princa Williama,7,187,5,1,20 min,10 min,30 min,Sladice,455.42 kCal
Tiramisu mafini,14,108,3,1,10 min,20 min,30 min,Sladice,326.26 kCal
Namaz iz pečenega mesa,8,50,3,1,15 min,0 min,15 min,Večerja,230.67 kCal
Hitra sladica z rabarbaro in jagodami,6,98,3,1,15 min,10 min,25 min,Sladice,64.92 kCal
Masleni brancinovi fileji s šparglji,7,134,4,1,5 min,10 min,15 min,Ribe in morski sadeži,119.47 kCal
MasterChef nacefran svinjski vrat,10,153,5,3,10 min,1 h 0 min,1 h 10 min,MasterChef,0 kCal
MasterChef pečena svinjska rebra,7,84,2,2,5 min,55 min,1 h 0 min,MasterChef,0 kCal
MasterChef svinjski file,20,258,6,2,15 min,30 min,45 min,MasterChef,0 kCal
"Zrezek iz svinjskega vratu, pire iz korenja in ingverja, miso omaka",15,407,9,2,15 min,30 min,45 min,MasterChef,119.74 kCal
"Svinjska ribica s cvetačnim pirejem, polenta z ocvirki, marelična omaka",13,226,8,1,15 min,30 min,45 min,MasterChef,118.21 kCal
Svinjska vratovina z zelenjavnima pirejema in sotirano špinačo,13,193,5,1,20 min,25 min,45 min,MasterChef,146.25 kCal
Domača bajadera z orehi,13,165,3,1,30 min,5 min,35 min,Sladice,553.2 kCal
Krompirjeve polpete s feto,8,186,3,1,15 min,50 min,1 h 5 min,Vegetarijanstvo,100 kCal
Jogurtovo pecivo s češnjami,8,130,4,1,20 min,40 min,1 h 0 min,Pomlad,178.04 kCal
Cezarjeva solata s parmezanovim ocvrtkom,24,226,6,2,30 min,15 min,45 min,MasterChef,250.3 kCal
"Postrvja juha in pečen file postrvi s solato iz regrata, čemaža in divjih jagod",11,105,5,1,20 min,20 min,40 min,MasterChef,84.55 kCal
Srnin file in jurček na žaru ter solata iz divjih rastlin,13,412,10,2,20 min,20 min,40 min,MasterChef,112.4 kCal
"Goveji steak v omaki, pire gomoljne zelene, hrustek iz parmezana in lešnikov",35,264,8,2,20 min,40 min,1 h 0 min,MasterChef,135.19 kCal
Gibanica na hitro,20,168,4,1,30 min,1 h 0 min,1 h 30 min,Slovenska,152.54 kCal
Piškoti s čokolado in arašidovim maslom,11,136,5,1,1 h 15 min,10 min,1 h 25 min,Kuhinje,452.16 kCal
Piščančje prsi na zelenjavni posteljici z jogurtovim prelivom,13,114,5,1,15 min,15 min,30 min,MasterChef,112.33 kCal
"Tribarvni mošnjiček s šparglji, lososom in masleno omako",14,455,10,3,1 h 0 min,15 min,1 h 15 min,MasterChef,215.9 kCal
Jabirola,15,261,7,2,50 min,40 min,1 h 30 min,MasterChef,113.74 kCal
Brezglutenska čokoladna tortica s kavnim moussom,16,330,9,2,20 min,20 min,40 min,Zabava,355.01 kCal
Lešnikovo-čokoladne kocke,8,61,3,1,15 min,5 min,20 min,Zabava,565.26 kCal
Eclair s pomarančo in čokoladno kremo,22,392,8,3,40 min,1 h 30 min,2 h 10 min,MasterChef,228.31 kCal
Testenine s krompirjevo-slivovim nadevom in slivovo omako,19,304,9,2,20 min,20 min,40 min,MasterChef,200.52 kCal
"Pariško ocvrti lignji, ocvrt krompirček in tatarska omaka",19,139,6,2,30 min,15 min,45 min,MasterChef,164.31 kCal
Creme brulee,6,121,5,2,15 min,35 min,50 min,MasterChef,295.28 kCal
Tomahawk steak in coleslaw solata,15,93,3,2,20 min,25 min,45 min,MasterChef,293.43 kCal
Zelenjavni kiš (quiche),14,213,7,2,15 min,50 min,1 h 5 min,MasterChef,355.74 kCal
Čebulna juha s sirovim krutonom,10,133,5,2,10 min,25 min,35 min,MasterChef,108.57 kCal
Veganske kroglice s sezamom in zelenjavo,22,192,4,1,15 min,50 min,1 h 5 min,MasterChef,195.87 kCal
Chili con carne z gobami,16,176,3,1,10 min,1 h 10 min,1 h 20 min,MasterChef,149.74 kCal
Goveji rostbif z lečo in sladko-slano solato,17,229,6,1,15 min,30 min,45 min,MasterChef,146.72 kCal
"Sadna torta s pehtranovim biskvitom, stepeno smetano in kokosom",43,356,9,3,1 h 0 min,50 min,1 h 50 min,MasterChef,281.35 kCal
Višnjev puding z vanilijevo kremo,14,200,4,2,25 min,20 min,45 min,Zabava,413.83 kCal
Velikonočni kruhov narastek,6,114,3,1,15 min,30 min,45 min,Velika noč,145.05 kCal
Hren s kislo smetano,4,43,1,1,10 min,0 min,10 min,Velika noč,36.93 kCal
Pommes souffles,3,200,5,3,15 min,5 min,20 min,MasterChef,0 kCal
Karamelni puding s sadnim prelivom,9,195,7,2,10 min,30 min,40 min,MasterChef,179.48 kCal
Ocvrta krompirjeva rolada,15,212,6,2,15 min,30 min,45 min,MasterChef,102.51 kCal
Zelenjavna kremna juha,6,51,2,1,10 min,20 min,30 min,MasterChef,28.44 kCal
Ajdov brioche z ajdovo in pasijonkino kremo,10,193,4,2,15 min,30 min,45 min,MasterChef,225.86 kCal
Ajdova rižota z gobami,15,188,4,1,10 min,25 min,35 min,MasterChef,173.54 kCal
Masleni škampi z ajdovim pirejem in ajdovim hrustkom,12,376,10,2,15 min,30 min,45 min,MasterChef,323.81 kCal
Vanilijevi čokoladni razpokančki,9,135,4,1,30 min,10 min,40 min,Božič in novo leto,402.24 kCal
Rižota s korenčkom in penino,12,144,4,2,20 min,20 min,40 min,MasterChef,172.46 kCal
Rižota z gobami,18,310,7,2,10 min,30 min,40 min,MasterChef,140.97 kCal
Rižota z rukolo,17,432,8,2,10 min,40 min,50 min,MasterChef,130.88 kCal
Rižota s korenjem in slanino,11,147,5,2,10 min,20 min,30 min,MasterChef,178.64 kCal
Rižota s korenjem,19,492,9,2,10 min,40 min,50 min,MasterChef,126.93 kCal
Rumove kroglice,7,43,2,1,40 min,0 min,40 min,MasterChef,497.34 kCal
Breskvice,16,227,6,3,1 h 30 min,12 min,1 h 42 min,MasterChef,368.93 kCal
Mandljevo-čokoladne rezine,13,178,5,1,30 min,15 min,45 min,MasterChef,509.3 kCal
Marmeladni žepki,8,123,3,2,40 min,12 min,52 min,Božič in novo leto,414.11 kCal
Ruske kape,17,261,8,3,1 h 30 min,30 min,2 h 0 min,Božič in novo leto,493.4 kCal
Kokosove kocke,13,117,4,1,40 min,30 min,1 h 10 min,MasterChef,436.7 kCal
Jagodno-jogurtova mousse tortica,18,187,5,2,30 min,10 min,40 min,Pomlad,299.88 kCal
"Torta s polento, orehi in jabolki",11,125,6,1,10 min,50 min,1 h 0 min,Brez glutena,211.72 kCal
"Pečene račje prsi, solata s šparglji, omaka črnih tartufov",14,170,7,2,15 min,20 min,35 min,MasterChef,79.93 kCal
"Domači rezanci s piščancem, rakci in sladko-kislo omako",23,191,6,2,20 min,20 min,40 min,MasterChef,154.46 kCal
Piščančji wrap s karamelno-sojino omako,20,178,5,2,20 min,25 min,45 min,MasterChef,174.38 kCal
Sendvič s pečeno govedino in zelenjavo,17,228,6,2,15 min,25 min,40 min,MasterChef,127.6 kCal
Piščančja obara z žličniki,29,350,11,2,20 min,1 h 20 min,1 h 40 min,MasterChef,204.87 kCal
Cheesecake z limonino kremo,16,207,5,2,30 min,30 min,1 h 0 min,Zabava,223.99 kCal
Losos iz pečice z mlado špinačo,9,125,4,1,15 min,20 min,35 min,Brez glutena,135.31 kCal
Hitro skutino pecivo z jagodami,11,135,5,1,10 min,30 min,40 min,Pomlad,197.52 kCal
Pečena vratovina s hrenom in krompirjem,12,209,4,1,10 min,1 h 0 min,1 h 10 min,Kosilo,99.85 kCal
Sočna čokoladno-pomarančna torta,6,104,6,1,10 min,50 min,1 h 0 min,Brez glutena,335.67 kCal
Sacher torta s sočno čokoladno glazuro,10,218,8,2,20 min,1 h 0 min,1 h 20 min,Valentinovo,366.63 kCal
Lešnikove bombice,11,109,4,1,1 h 0 min,15 min,1 h 15 min,Zabava,436.64 kCal
Pečeni šunkini zvitki z zelenjavo,8,157,4,1,15 min,20 min,35 min,Na hitro,148.63 kCal
Pečena polenta z zelenjavo in mocarelo,8,135,4,1,10 min,45 min,55 min,Vegetarijanstvo,223.2 kCal
Domača majoneza,5,77,2,3,15 min,0 min,15 min,MasterChef,189.35 kCal
Enostavne pšenične tortilje,3,66,3,1,20 min,10 min,30 min,MasterChef,242.67 kCal
Domače zeliščno maslo,3,101,4,1,15 min,0 min,15 min,MasterChef,717 kCal
Vlivanci,4,157,3,2,10 min,5 min,15 min,Testenine in žita,296.42 kCal
Karamelna omaka (toffee karamela),4,136,4,2,0 min,15 min,15 min,MasterChef,407.2 kCal
Bešamel omaka,4,150,4,2,0 min,15 min,15 min,Triki in nasveti,536.21 kCal
Mehiška rižota,13,136,4,1,10 min,25 min,35 min,Kosilo,155.31 kCal
Marmorirani cheesecake browniji,13,172,5,1,20 min,30 min,50 min,Zabava,370.62 kCal
Musaka s piščancem,11,182,6,2,30 min,50 min,1 h 20 min,Kosilo,94.19 kCal
Hitre skutine palačinke,9,133,4,1,10 min,20 min,30 min,Na hitro,180.75 kCal
Piščančja obara z jogurtovo pogačo,21,176,4,2,15 min,40 min,55 min,MasterChef,184.22 kCal
"Hruškova krema, kavna pena in zeliščni drobljenec",14,143,6,2,25 min,20 min,45 min,MasterChef,208.09 kCal
Svinjska ribica s poširanim jajcem in bučkino omako,9,121,4,2,10 min,25 min,35 min,MasterChef,144.88 kCal
"Tunin steak s sezamom, sadni riž in azijska omaka",16,228,7,2,15 min,20 min,35 min,MasterChef,124.39 kCal
Lava tortica z jagodnim pirejem,9,128,4,2,20 min,11 min,31 min,MasterChef,297.11 kCal
Piščančji curry z mangom in bučo,12,132,4,1,15 min,25 min,40 min,MasterChef,113.16 kCal
Sočno limonino pecivo,14,180,3,2,30 min,1 h 0 min,1 h 30 min,Zabava,267.39 kCal
Orehova rolada s kislo smetano,9,144,5,1,10 min,15 min,25 min,Zabava,220.99 kCal
Hitri krofi,12,312,5,3,1 h 0 min,30 min,1 h 30 min,Pust,269.38 kCal
"Solata z lososom, papriko in špinačo",18,263,7,1,30 min,15 min,45 min,MasterChef,83.73 kCal
Soba rezanci z zelenjavo in pečenim svinjskim filejem,12,156,4,1,15 min,25 min,40 min,MasterChef,162.01 kCal
Riževe polpete s piščancem,12,202,4,1,15 min,50 min,1 h 5 min,Testenine in žita,200.13 kCal
Mascarponejeva krema z bananami in piškoti,8,81,3,1,30 min,0 min,30 min,Zabava,305.9 kCal
Pečen krompir s čebulo in slanino,6,166,4,1,10 min,35 min,45 min,Priložnostno,148.29 kCal
Jabolčne rezine brez peke,14,175,7,1,30 min,10 min,40 min,Jesen,216.39 kCal
Pečeni njoki s šunko in sirom,10,163,4,1,5 min,35 min,40 min,Na hitro,97.34 kCal
Kokosovo pecivo z mandarinami,14,196,6,1,15 min,45 min,1 h 0 min,Zabava,197.54 kCal
Čokoladne rezine z masleno kremo,15,293,7,2,40 min,25 min,1 h 5 min,Božič in novo leto,403.29 kCal
Jajčni namaz z zeleno in hrenom,9,81,2,1,20 min,8 min,28 min,Velika noč,103.12 kCal
Čokoladna rolada s smetano in malinami,8,203,5,1,30 min,15 min,45 min,Zabava,299.4 kCal
Linški srčki z marmelado,9,143,3,2,1 h 10 min,10 min,1 h 20 min,Valentinovo,475.43 kCal
Genovski (masleni) biskvit,5,292,8,2,30 min,35 min,1 h 5 min,Zabava,298.28 kCal
Lečina solata z bučo in ohrovtom,11,211,5,1,20 min,25 min,45 min,Zdravo in vegi,141.81 kCal
"Ajdova torta z orehi, marmelado in smetano",14,193,7,1,20 min,30 min,50 min,Brez glutena,322.45 kCal
Chia puding z malinami,5,90,4,1,15 min,0 min,15 min,Zdravo in vegi,496.2 kCal
Bananine palačinke z borovnicami,9,160,5,1,10 min,15 min,25 min,Zdravo in vegi,155.75 kCal
Švedska čokoladna torta (kladdkaka),8,187,4,1,15 min,20 min,35 min,Kuhinje,390.74 kCal
Hitro skutino pecivo,12,154,5,1,15 min,45 min,1 h 0 min,Sladice,188.28 kCal
Osja gnezda,16,238,7,2,1 h 40 min,30 min,2 h 10 min,Sladice,432.39 kCal
Originalni italijanski tiramisu,8,189,4,1,30 min,0 min,30 min,Italijanska,325.77 kCal
V pečici pečen piščanec s koromačem,8,125,3,1,10 min,45 min,55 min,Meso,178.83 kCal
"Njoki s špinačo, slanino in smetano",8,128,3,1,5 min,10 min,15 min,Testenine in žita,129.56 kCal
Preprosto jabolčno pecivo,10,173,3,1,15 min,50 min,1 h 5 min,Jesen,260.4 kCal
